Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"ASSA ABLOY Opening Solution Baltic AS filialas
","
","Eišiškių pl. 36, C korpusas, LT-02184 Vilnius.","
Veiklos sritys: durys, raktai, spynos; apsaugos sistemos patalpoms; statyba; statybinės medžiagos.
","
„ASSA ABLOY Group"" yra pasaulinė praėjimo kontrolės sprendimų lyderė. Mūsų pasiūlymas apima produktus ir paslaugas, susijusias su atidarymo sprendimais, tokiais kaip spynos, durys, vartai ir įėjimo automatikos sprendimai. Tai taip pat apima žinias, kaip kontroliuoti tapatybę naudojant raktus, korteles, žetonus...
",https://rekvizitai.vz.lt/imone/assa_abloy_baltic_as_filialas/
"Budrus sakalas
","
","Vykinto g. 14, LT-08117 Vilnius.","
Veiklos sritys: saugos tarnybos; apsaugos sistemos patalpoms; konsultacijų paslaugos.
","
2002 metais sausio 4 diena buvo įsteigta uždaroji akcinė bendrovė „BUDRUS SAKALAS“, Koncerno „ACHEMOS GRUPĖ“ narė, kuri vykdo savo veiklą Vilniaus, Kauno, Klaipėdos, Šiaulių, Panevėžio ir kitose Respublikos apskrityse. Atsižvelgdama į spartų technikos tobulėjimą ir įgijusi didelę patirtį turto apsaugos užtikrinimo...
",https://rekvizitai.vz.lt/imone/budrus_sakalas/
"Direktas
","
","Gailašių g. 22-1, LT-14193 Vilnius.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; inžineriniai tinklai ir sistemos; priešgaisrinė sauga, sistemos.
","
Mes esame energinga ir perspektyvi komanda elektronikos inžinerijos srityje, turinti nemažą patirtį elektros, vėdinimo ir oro kondicionavimo sistemų montavimo ir priežiūros srityje. Atliekame visus lauko ir vidaus elektros sistemų remonto, montavimo darbus, galime Jums sumontuoti ar suremontuoti vėdinimo ar oro...
",https://rekvizitai.vz.lt/imone/direktas/
"E. Raudžio firma ""Elektroninės duomenų apdorojimo sistemos""
","
EDAS
","P. Lukšio g. 9-23, LT-76207 Šiauliai.","
Veiklos sritys: kompiuteriai ir programinė įranga; apsaugos sistemos patalpoms; biuro įranga; kompiuterių remontas, it paslaugos.
","
IT technika; kompiuterių, spausdintuvų, kopijavimo technikos remontas ir aptarnavimas; spausdintuvų kasečių pildymas, jų atnaujinimas ir remontas; visų rūšių biuro popierius; kasos aparatų juostos, GPS navigacinės sistemos, racijos, radijo įranga ir jų priedai bei kt. Kiekvienam klientui siūlomi individualūs...
",https://rekvizitai.vz.lt/imone/e_raudzio_firma_elektronines_duomenu_apdorojimo_sistemos/
"Firesta
","
","J. Savickio g. 4-7, LT-01108 Vilnius.","
Veiklos sritys: darbo sauga; apsaugos sistemos patalpoms.
","
UAB ""FIRESTA"" savo klientams gali pasiūlyti: Platų ugnies gesintuvų asortimentą, bei techninę jų priežiūrą; Evakuacijos planų sudarymą; Priešgaisrinio vandentiekio patikrinimą; Priešgaisrinių žarnų hidraulinį išbandymą, perkantavimą; Konsultuojame įmones priešgaisrinės saugos klausimais.
",https://rekvizitai.vz.lt/imone/firesta/
"Išmanios sistemos
","
Smart systems
","Kastyčio g. 4, Gargždai, LT-96131 Klaipėdos r.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; inžineriniai tinklai ir sistemos; priešgaisrinė sauga, sistemos.
","
Dinamiška kompanija, ieškanti geriausių sprendimų savo klientams. Teikiame integruotas statinio elektros inžinerinių sistemų, telekomunikacijų, video stebėjimo sistemų įrengimo bei aptarnavimo paslaugas verslo ir privatiems klientams. Įrengiame naujausias elektros inžinerines sistemas, leidžiančias patogiai gyventi...
",https://rekvizitai.vz.lt/imone/ismanios_sistemos/
"Lektrona
","
","Čigonų k. 5A, Čigonų k., LT-81106 Šiaulių r.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; automatizavimas, automatika; energetika.
","
1. Kompleksinių saugumo sprendimų projektavimas ir diegimas. Silpnų srovių sistemų įrengimas, aptarnavimas. Konsultavimas ir tarpininkavimo su saugos tarnybomis paslaugos. 2. Pažangiausių vaizdo stebėjimo, elektroninės saugos, transporto ir žmonių srautų valdymo bei kitų kombinuotų sprendimų projektavimas...
",https://rekvizitai.vz.lt/imone/lektrona/
"OLIM
","
","Architektų g. 182-73, LT-04204 Vilnius.","
Veiklos sritys: vaizdo stebėjimo sistemos; apsaugos sistemos patalpoms; kompiuterių programinės įrangos kūrimas; saugos tarnybos.
","
",https://rekvizitai.vz.lt/imone/olim/
"Pi faktorius
","
","Veiverių g. 9B-1, LT-11346 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; inžineriniai tinklai ir sistemos; priešgaisrinė sauga, sistemos.
","
Patalpų inžinerinių tinklų sistemų diegimas ir priežiūra: Patalpų apsaugos sistemos; Elektros instaliacija; Priešgaisrinės sistemos; Pavojaus skelbimo sistemos; Praėjimo kontrolė; Video stebėjimas; 24 val. per parą inžinerinių tinklų monitoringas bei gedimų šalinimas nedelsiant! Esame KNX sertifikuoti išmanaus...
",https://rekvizitai.vz.lt/imone/pi_faktorius/
"R. Limonto Individuali veikla
","
Saugos Guru
","Nidos g. 56-29, LT-93219 Klaipėda.","
Veiklos sritys: apsaugos sistemos patalpoms; inžineriniai tinklai ir sistemos; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
Patikimas savo srities specialistas! Visada dirbu taip kad paskui nebūtų gėda.
Tobulėju šiose srityse:
Apsaugos ir gaisro sistemos
Kompiuteriniai tinklai
Vaizdo stebėjimo sistemos.
Išmanūs sprendimai inovatyviems užsakovams.
Esu draugiškas kaina ir gyvenimo būdų!
",https://rekvizitai.vz.lt/imone/r_limonto_individuali_veikla/
"Saugos sprendimai
","
","Danės g. 35, LT-92108 Klaipėda.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
UAB „Saugos sprendimai“ susikūrė 2003 m. - nedidelė kvalifikuotų darbuotojų, turinčių kvalifikacijos atestatus ir didelę patirtį, įmonė. Bendrovės pagrindinė veikla - apsaugines, gaisrines signalizacijos, vaizdo stebėjimo, įeigos kontrolės, telekomunikacinių ir kompiuterini tinklų, elektros instaliacijos ir...
",https://rekvizitai.vz.lt/imone/saugos_sprendimai/
"Securus LT
","
","Baltijos g. 11-2, LT-48291 Kaunas.","
Veiklos sritys: energetika; apsaugos sistemos patalpoms; elektros instaliacijos darbai; pastatų administravimas.
","
UAB Securus LT pagrindinė veiklos sritis: statinių (prekybos ir administracinių) elektros, apsaugos ir elektroninių ryšių sistemų montavimas bei priežiūra. Nors esame palyginti jauna įmonė, tačiau mums jau pavyko sukurti profesionalius ryšius su stambiomis imonėmis – užsakovais. Specializuojamės saulės elektrinių...
",https://rekvizitai.vz.lt/imone/securus_lt/
"Signalita, Remigijaus Matuzevičiaus Individuali Įmonė
","
","Apaščios g. 9, Kilučių k., LT-41103 Biržų r.","
Veiklos sritys: apsaugos sistemos patalpoms.
","
Patalpų apsaugos ir priešgaisrinės sistemos. Vaizdo įrašymo ir stebėjimo įranga. Montavimas, aptarnavimas, pardavimas. Garantinė ir pogarantinė priežiūra.
",https://rekvizitai.vz.lt/imone/signalita_remigijaus_matuzeviciaus_individuali_imone/
"Signalizacija.lt
","
","P. Lukšio g. 7, LT-08221 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
Darbus atliekame labai atsakingai ir kruopščiai, apgalvojame darbus, atsižvelgiame į kliento poreikius, patariame kaip geriau ir optimaliau su mažesniais kaštais atlikti montavimo darbus, kad įranga kurią sumontuosime klientas būtų patenkintas. Tiksliai susiplanuojame darbus prisitaikome prie kliento darbo laiko ir...
",https://rekvizitai.vz.lt/imone/aragonas/
"Signalizacijos darbai
","
","Romaškių 1-oji g. 5-2, Romaškių k., LT-54341 Kauno r.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
Apsauginė signalizacija apsauginės patalpų signalizacijos įrengimas, būsto signalizacijos įrengimas; priešgaisrinės signalizacijos įrengimas; GSM signalizacijos įrengimas; kiemo (teritorijos, perimetro) signalizacijos įrengimas; Elektros instaliacija elektros instaliacijos įrengimas, atnaujinimas; automatinių...
",https://rekvizitai.vz.lt/imone/signalizacijos_darbai/
"Sigundė
","
Alfa Saugos Tarnyba
","Perkūnkiemio g. 8-4, LT-12113 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; saugos tarnybos.
","
„ALFA saugos tarnyba“ Yra apsaugos bendrovė kuri atvėrė duris 2012m. Teikianti išskirtinės kokybės paslaugas. Įmonės komanda sudaryta iš savo srities profesionalų, kurie šio darbo patirtį įgijo įvairiose Saugos tarnybose, Policijos bei Karinėse struktūrose arba veikdami individualiai. „ALFA saugos tarnyba“ savo...
",https://rekvizitai.vz.lt/imone/uab_sigunde/
"Skaitmeninė akis
","
","L. Giros g. 15, LT-86140 Kelmė.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; kompiuteriai ir programinė įranga; vartai, tvoros.
","
Veiklos apibūdinimas SKAITMENINĖ AKIS – įmonė, užsiimanti apsaugos sistemų, kontrolės sistemų bei vidaus komunikacijų montavimu ir priežiūra. Paslaugas teikiame tiek juridiniams, tiek fiziniams asmenims. Sukaupę didelę patirtį, didžiuojamės galėdami pasiūlyti profesionalų ir patikimą savo specialistų darbą...
",https://rekvizitai.vz.lt/imone/skaitmenine_akis/
"UAB Trikdis
","
","Draugystės g. 17, LT-51229 Kaunas.","
Veiklos sritys: apsaugos sistemos patalpoms; eksportas; gamyba; telekomunikacijos, ryšio priemonės.
","
UAB „Trikdis“ buvo įkurta 1996 metais, kaip bendras Kauno technologijos universiteto mokslininkų ir tuomet didžiausios Lietuvos saugos tarnybos „Jungtis“ projektas, kuris tapo sėkminga ir savarankiška kompanija. Šiuo metu mes dirbame tiek su mažomis, tiek su didelėmis saugos tarnybomis visame pasaulyje. Mūsų...
",https://rekvizitai.vz.lt/imone/trikdis/
"Baltesa
","
","Oršos g. 5-61, LT-09300 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; automatizavimas, automatika; elektros dalys ir įranga; telekomunikacijos, ryšio priemonės.
","
Telekomunikacijų, pramoninės automatikos ir valdymo produktų, elektrotechnikos bei apsaugos sistemų tiekėja Lietuvoje, Latvijoje ir Estijoje. • Konsultuojame gamybinių procesų automatizavimo klausimais; Prekiaujame žinomų gamintojų loginiais valdikliais. • Atliekame valdymo ir elektros skydų surinkimą ir valdiklių...
",https://rekvizitai.vz.lt/imone/uab_baltesa/
"Elektros zona
","
","Raudondvario pl. 131B, LT-47191 Kaunas.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; darbo sauga; matavimo prietaisai.
","
Elektros montavimo darbai.
",https://rekvizitai.vz.lt/imone/elektros_zona/
"Elsis
","
","Ukmergės g. 283B-3, LT-06313 Vilnius.","
Veiklos sritys: kompiuterių remontas, it paslaugos; apsaugos sistemos patalpoms; eksportas; kompiuterių programinės įrangos kūrimas.
","
„Elsis“ – tai informacinių ir ryšių technologijų (IRT) įmonių grupė, kurianti ir diegianti programinius sprendimus, informacines sistemas, telekomunikacijų ir taktinio ryšio sistemas, telemetrijos, aplinkos monitoringo, būsto valdymo, pastatų automatizavimo ir priežiūros, kitas inžinerines sistemas bei vykdanti...
",https://rekvizitai.vz.lt/imone/elsis/
"Elsista
","
","Kranto g. 36-78, LT-35172 Panevėžys.","
Veiklos sritys: apsaugos sistemos patalpoms; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
Apsaugos signalizacijos sistemos, vaizdo stebėjimo sistemos - projektavimas, komplektavimas, montavimas, garantinė ir pogarantinė techninė priežiūra, konsultavimas. Vartų automatikos (užtvarai, kiemo ir pastatų vartų), įeigos kontrolės sistemos (kodinės spynos, pasikalbėjimo įranga) - projektavimas, komplektavimas...
",https://rekvizitai.vz.lt/imone/elsista/
"Intersolta
","
","A. Vaišvilos g. 31-28, LT-90136 Plungė.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; priešgaisrinė sauga, sistemos; vaizdo stebėjimo sistemos.
","
Atestuotoj įmonėje dirbantys kvalifikuoti elektrikai atlieka šiuos vidaus ir lauko darbus : Elektros instaliacija Elektros instaliacija , montavimas , remontas; Jungiklių rozečių perkėlimas , išplėtimas; Šviestuvų , judesio daviklių montavimas; Elektros šildymo sistemų įrengimas; Šildymo kabelių montavimas;...
",https://rekvizitai.vz.lt/imone/intersolta/
"Itegra
","
","Partizanų g. 21B-11, LT-49478 Kaunas.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; telekomunikacijos, ryšio priemonės; vaizdo stebėjimo sistemos.
","
Itegra Dažniausiai apie savo turto saugumą susimąstome jau įvykus įsilaužimui, tyčiniam turto apgadinimui, vagystei, elektros gedimams ar kitiems nemaloniems įvykiams. Mes siūlome būti vienu žingsniu priekyje ir iš anksto pasirūpinti savo ir turto apsauga: moderniomis vaizdo kameromis, apsauginės ir priešgaisrinės...
",https://rekvizitai.vz.lt/imone/itegra/
"Jurgio Grišmanausko individuali veikla
","
Patalpuapsauga.lt
","Įgulos g. 3, Šakių k., LT-47412 Kauno r.","
Veiklos sritys: apsaugos sistemos patalpoms; individuali veikla; priešgaisrinė sauga, sistemos.
","
IP kamerų sistemos (numerių atpažinimas, šlakbaumų valdymas,perimetro stebėjimas, POS sistemos, perimetro signalizacija su IP kameromis). Signalizacijos: patalpų, lauko perimetro, GSM, modulinės sistemos. Telefonspynės: IP domofonai namams – daugiabučiams. Praėjimo kontrolė: Nepageidaujamų asmenų kontrolė, darbo...
",https://rekvizitai.vz.lt/imone/jurgio_grismanausko_individuali_veikla/
"Kopranas
","
","Kareivių g. 19-110, LT-09133 Vilnius.","
Veiklos sritys: elektros instaliacijos darbai; apsaugos sistemos patalpoms; elektros montavimo medžiagos; vaizdo stebėjimo sistemos.
","
Atestuota UAB ,,KOPRANAS” specializuojasi patalpų apsaugos sistemų, gaisrinių sistemų, perimetro apsaugos, praėjimo kontrolės, įeigos kontrolės, vaizdo stebėjimo sistemų, audio-video pasikalbėjimo sistemų, kompiuterinių-telefoninių ir televizijos tinklų sistemų žaibosaugos sistemų tiekimo ir instaliavimo srityje...
",https://rekvizitai.vz.lt/imone/kopranas/
"Kotesa
","
","Tilžės g. 80A-3, LT-78132 Šiauliai.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros instaliacijos darbai; kompiuteriai ir programinė įranga; priešgaisrinė sauga, sistemos.
","
Patalpų apsaugos sistemos, priešgaisrinės, video, vaizdo apsaugos sistemos. Patalpų signalizacija. Vartų automatikos. Prekyba kompiuteriais, jų įranga, techninis aptarnavimas.
",https://rekvizitai.vz.lt/imone/kotesa/
"MagElita
","
","Jaunystės g. 21-11, LT-31230 Visaginas.","
Veiklos sritys: priešgaisrinė sauga, sistemos; apsaugos sistemos patalpoms; kavinės, klubai, barai, restoranai; vaizdo stebėjimo sistemos.
","
Veiklos:
I. Apsaugos ir priešgaisrinės signalizacijos, vaizdo stebėjimo, įėjimo kontrolės sistemų, elektros instaliacijos, kompiuterinių tinklų projektavimo, įrengimo, aptarnavimo ir techninės priežiūros paslaugos.
II. Kavinė - restoranas ""MagElita"", viešasis maitinimas
",https://rekvizitai.vz.lt/imone/magelita/
"Midpoint systems
","
Įėjimo kontrolės sistema| CredoID |Access control
","Studentų g. 65, LT-51369 Kaunas.","
Veiklos sritys: apsaugos sistemos patalpoms; kompiuteriai ir programinė įranga; kompiuterių programinės įrangos kūrimas; vaizdo stebėjimo sistemos.
","
Mes kuriame įėjimo kontrolės ir apsaugos programinę įrangą CredoID. Partneriams teikiame atvirą REST API, integracijas su vaizdo stebėjimo, vizitų valdymo, automobilių parkavimo, patalpų užimtumo bei kitomis sistemomis, užtikrinančiomis patogų, efektyvų ir saugų pastatų naudojimą. Atstovaujame pasaulyje...
",https://rekvizitai.vz.lt/imone/midpoint_systems/
"Priešgaisrinių paslaugų garantas
","
","Veiverių g. 132, LT-46337 Kaunas.","
Veiklos sritys: apsaugos sistemos patalpoms; darbo sauga; mokymo kursai; priešgaisrinė sauga, sistemos.
","
Gesintuvų patikra, techninis aptarnavimas, gesintuvų nuoma, priešgaisrinio vandentiekio ir čiaupų patikra, varžų matavimas, žaibolaidžių įrengimas, evakavimo planų sudarymas (patalpų, teritorijų). Prekyba: gesintuvai, priešgaisriniai čiaupai ir jų įranga, priešgaisriniai skydai, plastikinės dėžės gesintuvams...
",https://rekvizitai.vz.lt/imone/priesgaisriniu_paslaugu_garantas/
"Prosolas
","
","Artojo g. 7E, LT-92105 Klaipėda.","
Veiklos sritys: priešgaisrinė sauga, sistemos; apsaugos sistemos patalpoms; laivų remontas, statyba; vandens transportas.
","
Service of lifesaving and firefighting equipment, maintenance of fire-fighting systems, multi brand 402(96) Lifeboats, rescue boats and davits. Fire extinguishers, hydrants, fire hoses, breathing apparatuses, cylinder hydrotesting, breathing air refiling, air analysis, foam analysis, lifejackets, immersion suits...
",https://rekvizitai.vz.lt/imone/prosolas/
"Signalizacijos spektras
","
","Žuvinto g. 13-80, LT-62354 Alytus.","
Veiklos sritys: apsaugos sistemos patalpoms; elektros dalys ir įranga; elektros instaliacijos darbai; vaizdo stebėjimo sistemos.
","
VILNIAUS ir jo rajonuose, montuojame apsaugos, priešgaisrines signalizacijas, bei vaizdo stebėjimo sistemas, Jūsų namui, butui, kotedžui, ofisui, sandėliui ir kitos paskirties patalpoms. Tai pat montuojame perimetro apsaugą statybvietėms, įeigos kontrolės sistemas. Teikiame visas montavimo paslaugas kas susiję su...
",https://rekvizitai.vz.lt/imone/signalizacijos_spektras/
"Sintra Baltic
","
","Vilkpėdės g. 6, LT-03151 Vilnius.","
Veiklos sritys: apsaugos sistemos patalpoms; eksportas; elektros dalys ir įranga; vaizdo stebėjimo sistemos.
","
Apsaugos sistemų įrangos didmeninė prekyba. Priešgaisrinės sistemos, Apsaugos sistemos, Praėjimo kontrolė, Vaizdo stebėjimo įranga, Elektros instaliacijos prekės.
",https://rekvizitai.vz.lt/imone/sintra_baltic/
"Taisiukas
","
","Kmynų g. 9, Bajorų k., LT-53368 Kauno r.","
Veiklos sritys: kompiuterių remontas, it paslaugos; apsaugos sistemos patalpoms; elektros instaliacijos darbai; vaizdo stebėjimo sistemos.
","
Pristatome naują IT priežiūros namams ir verslui, IT ir elektronikos įrangos remonto, buitinės technikos remonto ir kitų namų ūkiui bei verslui reikalingų paslaugų platformą www.taisiukas.lt Čia rasite pagalbą jeigu: Susidūrėte su kompiuterių, spausdintuvų, kitos kompiuterinės įrangos gedimais, blogu veikimu...
",https://rekvizitai.vz.lt/imone/taisiukas/
